Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Akola (A),November,1961-2000,40,31.7,15.6,18.7,20.7000,77.0000
Akola (A),December,1961-2000,40,29.5,12.4,12.1,20.7000,77.0000
Allahabad,January,1901-2000,100,23.5,8.9,17.9,26.0138,81.3126
Allahabad,February,1901-2000,100,26.7,11.4,17.3,26.0138,81.3126
Allahabad,March,1901-2000,100,33.4,16.6,9.6,26.0138,81.3126
Allahabad,April,1901-2000,100,39.1,22.3,5.5,26.0138,81.3126
Allahabad,May,1901-2000,100,41.8,26.7,8.8,26.0138,81.3126
Allahabad,June,1901-2000,100,39.8,28.5,88.8,26.0138,81.3126
Allahabad,July,1901-2000,100,34,26.6,280.9,26.0138,81.3126
Allahabad,August,1901-2000,100,32.5,25.9,296.1,26.0138,81.3126
Allahabad,September,1901-2000,100,33,25,185,26.0138,81.3126
Allahabad,October,1901-2000,100,33,20.2,36.6,26.0138,81.3126
Allahabad,November,1901-2000,100,29.2,13.5,9.3,26.0138,81.3126
Allahabad,December,1901-2000,100,24.6,9.4,7,26.0138,81.3126
Ambikapur,January,1951-2000,49,23.5,8.7,22.6,23.1162,83.1959
Ambikapur,February,1951-2000,49,26.8,11.3,22.5,23.1162,83.1959
Ambikapur,March,1951-2000,49,32,15.6,18.4,23.1162,83.1959
Ambikapur,April,1951-2000,49,36.8,20.8,13,23.1162,83.1959
Ambikapur,May,1951-2000,49,39.4,24.7,19.4,23.1162,83.1959
Ambikapur,June,1951-2000,49,35.5,24.8,211.2,23.1162,83.1959
Ambikapur,July,1951-2000,49,29.7,23.2,428.3,23.1162,83.1959
Ambikapur,August,1951-2000,49,29.3,22.9,389.8,23.1162,83.1959
Ambikapur,September,1951-2000,49,29.8,22.1,227.2,23.1162,83.1959
Ambikapur,October,1951-2000,49,29.5,18.1,56.8,23.1162,83.1959
Ambikapur,November,1951-2000,49,26.5,12.2,9.7,23.1162,83.1959
Ambikapur,December,1951-2000,49,23.8,8.5,6.5,23.1162,83.1959
Amini Divi,January,1901-2000,97,31.2,23.6,15.9,11.1000,72.7500
Amini Divi,February,1901-2000,97,31.7,24.5,2.9,11.1000,72.7500
Amini Divi,March,1901-2000,97,32.5,25.3,3.8,11.1000,72.7500
Amini Divi,April,1901-2000,97,33.3,26.7,22.6,11.1000,72.7500
Amini Divi,May,1901-2000,97,33,27.1,131.1,11.1000,72.7500
Amini Divi,June,1901-2000,97,30.4,25.7,371.1,11.1000,72.7500
Amini Divi,July,1901-2000,97,29.6,25.3,314.5,11.1000,72.7500
Amini Divi,August,1901-2000,97,29.6,25.3,214,11.1000,72.7500
Amini Divi,September,1901-2000,97,30,25.3,149.9,11.1000,72.7500
Amini Divi,October,1901-2000,97,30.5,25.1,139.2,11.1000,72.7500
Amini Divi,November,1901-2000,97,31,24.5,88.6,11.1000,72.7500
Amini Divi,December,1901-2000,97,31.1,23.7,38.5,11.1000,72.7500
Amritsar (Rajasansi),January,1948-2000,53,19.2,3.9,28.3,31.6400,74.8600
Amritsar (Rajasansi),February,1948-2000,53,21.9,6.3,29.2,31.6400,74.8600
Amritsar (Rajasansi),March,1948-2000,53,26.9,11,34.8,31.6400,74.8600
Amritsar (Rajasansi),April,1948-2000,53,33.9,16.2,19.3,31.6400,74.8600
Amritsar (Rajasansi),May,1948-2000,53,38.8,21.2,19.6,31.6400,74.8600
Amritsar (Rajasansi),June,1948-2000,53,39.8,24.9,51.7,31.6400,74.8600
Amritsar (Rajasansi),July,1948-2000,53,35.3,25.6,224.7,31.6400,74.8600
Amritsar (Rajasansi),August,1948-2000,53,34.3,25.2,174.5,31.6400,74.8600
Amritsar (Rajasansi),September,1948-2000,53,34.4,22.7,94.6,31.6400,74.8600
Amritsar (Rajasansi),October,1948-2000,53,32.3,15.7,21.3,31.6400,74.8600
Amritsar (Rajasansi),November,1948-2000,53,27,8.6,5.7,31.6400,74.8600
Amritsar (Rajasansi),December,1948-2000,53,21.3,4.3,14.6,31.6400,74.8600
Anantpur,January,1946-2000,55,30.4,17.4,0.9,14.6800,77.6000
Anantpur,February,1946-2000,55,33.7,19.3,1.3,14.6800,77.6000
Anantpur,March,1946-2000,55,37.1,22.4,4.7,14.6800,77.6000
Anantpur,April,1946-2000,55,38.9,25.8,16.9,14.6800,77.6000
Anantpur,May,1946-2000,55,38.8,26.2,55,14.6800,77.6000
Anantpur,June,1946-2000,55,35.4,25,55.8,14.6800,77.6000
Anantpur,July,1946-2000,55,33.3,24.2,62.7,14.6800,77.6000
