Station Name,Month,Period,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Cherrapunji,December,1902-2000,99,17.1,8.6,13.5,25.3000,91.7000
Coimbatore (Pilamedu),January,1948-2000,53,30.2,18.1,6.6,11.0183,76.9725
Coimbatore (Pilamedu),February,1948-2000,53,32.9,19.2,8.9,11.0183,76.9725
Coimbatore (Pilamedu),March,1948-2000,53,35.5,21.3,12,11.0183,76.9725
Coimbatore (Pilamedu),April,1948-2000,53,36.2,23.3,49.4,11.0183,76.9725
Coimbatore (Pilamedu),May,1948-2000,53,34.7,23.3,68.8,11.0183,76.9725
Coimbatore (Pilamedu),June,1948-2000,53,32,22.3,84.4,11.0183,76.9725
Coimbatore (Pilamedu),July,1948-2000,53,30.8,21.7,34.3,11.0183,76.9725
Coimbatore (Pilamedu),August,1948-2000,53,31.3,21.7,28.4,11.0183,76.9725
Coimbatore (Pilamedu),September,1948-2000,53,32.2,21.8,57.3,11.0183,76.9725
Coimbatore (Pilamedu),October,1948-2000,53,31.3,21.8,136.7,11.0183,76.9725
Coimbatore (Pilamedu),November,1948-2000,53,29.9,20.6,119.3,11.0183,76.9725
Coimbatore (Pilamedu),December,1948-2000,53,29.1,18.8,40.8,11.0183,76.9725
Cooch Behar,January,1901-2000,61,23.7,9.6,8.3,26.3242,89.4510
Cooch Behar,February,1901-2000,61,25.8,11.6,13.1,26.3242,89.4510
Cooch Behar,March,1901-2000,61,29.9,15.8,40.7,26.3242,89.4510
Cooch Behar,April,1901-2000,61,31.7,20.1,127.9,26.3242,89.4510
Cooch Behar,May,1901-2000,61,31,22.2,377.6,26.3242,89.4510
Cooch Behar,June,1901-2000,61,31.1,24.1,766.8,26.3242,89.4510
Cooch Behar,July,1901-2000,61,31.3,24.9,813.4,26.3242,89.4510
Cooch Behar,August,1901-2000,61,31.6,25.1,620.5,26.3242,89.4510
Cooch Behar,September,1901-2000,61,31.3,24.3,519,26.3242,89.4510
Cooch Behar,October,1901-2000,61,30.5,21.2,179.8,26.3242,89.4510
Cooch Behar,November,1901-2000,61,28.1,15.4,9.7,26.3242,89.4510
Cooch Behar,December,1901-2000,61,25.2,11.2,4,26.3242,89.4510
Darjeeling,January,1901-2000,97,9.4,1.8,19.7,27.0500,88.2667
Darjeeling,February,1901-2000,97,10.4,2.9,24.1,27.0500,88.2667
Darjeeling,March,1901-2000,97,14.4,6.3,47.7,27.0500,88.2667
Darjeeling,April,1901-2000,97,17.4,9.4,115.8,27.0500,88.2667
Darjeeling,May,1901-2000,97,18.5,11.5,197.2,27.0500,88.2667
Darjeeling,June,1901-2000,97,19.3,13.6,570,27.0500,88.2667
Darjeeling,July,1901-2000,97,19.4,14.3,781.7,27.0500,88.2667
Darjeeling,August,1901-2000,97,19.6,14.2,635.3,27.0500,88.2667
Darjeeling,September,1901-2000,97,19.2,13.3,437.3,27.0500,88.2667
Darjeeling,October,1901-2000,97,18,10.3,122.5,27.0500,88.2667
Darjeeling,November,1901-2000,97,14.7,6.3,23.5,27.0500,88.2667
Darjeeling,December,1901-2000,97,11.5,3.3,7,27.0500,88.2667
Dehra Dun,January,1901-2000,84,19.3,6,55,30.1812,78.1220
Dehra Dun,February,1901-2000,84,21.5,7.8,58.8,30.1812,78.1220
Dehra Dun,March,1901-2000,84,26.4,12,49,30.1812,78.1220
Dehra Dun,April,1901-2000,84,32.1,16.7,22.5,30.1812,78.1220
Dehra Dun,May,1901-2000,84,35.6,20.7,41.7,30.1812,78.1220
Dehra Dun,June,1901-2000,84,34.8,23,201.8,30.1812,78.1220
Dehra Dun,July,1901-2000,84,30.5,22.8,672.6,30.1812,78.1220
Dehra Dun,August,1901-2000,84,29.4,22.4,728.2,30.1812,78.1220
Dehra Dun,September,1901-2000,84,29.7,20.8,296.5,30.1812,78.1220
Dehra Dun,October,1901-2000,84,28.5,15.7,49.8,30.1812,78.1220
Dehra Dun,November,1901-2000,84,25,10.4,8.6,30.1812,78.1220
Dehra Dun,December,1901-2000,84,21.1,6.8,24.4,30.1812,78.1220
Dharmsala,January,1951-1998,48,14.8,5.9,119.7,32.2252,76.1844
Dharmsala,February,1951-1998,48,16.7,7.5,108.2,32.2252,76.1844
Dharmsala,March,1951-1998,48,21,11.4,241.7,32.2252,76.1844
Dharmsala,April,1951-1998,48,26.1,15.9,58.3,32.2252,76.1844
Dharmsala,May,1951-1998,48,30.3,19.8,64.2,32.2252,76.1844
Dharmsala,June,1951-1998,48,31.4,21.6,222.7,32.2252,76.1844
Dharmsala,July,1951-1998,48,27.3,20.6,876.9,32.2252,76.1844
Dharmsala,August,1951-1998,48,26.4,20.2,864.6,32.2252,76.1844
Dharmsala,September,1951-1998,48,26.4,18.6,375.8,32.2252,76.1844
Dharmsala,October,1951-1998,48,24.9,15,55.8,32.2252,76.1844
Dharmsala,November,1951-1998,48,20.9,10.6,20.8,32.2252,76.1844
Dharmsala,December,1951-1998,48,16.9,7.4,54.9,32.2252,76.1844
Dibrugarh/Mohanbari,January,1952-2000,49,22.7,9.1,32,27.4800,95.0000
Dibrugarh/Mohanbari,February,1952-2000,49,23.9,12.2,78.5,27.4800,95.0000
Dibrugarh/Mohanbari,March,1952-2000,49,26.5,15.6,109.7,27.4800,95.0000
Dibrugarh/Mohanbari,April,1952-2000,49,27.9,18.7,218.7,27.4800,95.0000
Dibrugarh/Mohanbari,May,1952-2000,49,29.4,21.7,316,27.4800,95.0000
Dibrugarh/Mohanbari,June,1952-2000,49,30.9,24,419.5,27.4800,95.0000
Dibrugarh/Mohanbari,July,1952-2000,49,31,24.5,520.9,27.4800,95.0000
Dibrugarh/Mohanbari,August,1952-2000,49,31.6,24.8,443.8,27.4800,95.0000
Dibrugarh/Mohanbari,September,1952-2000,49,30.7,23.8,333.1,27.4800,95.0000
Dibrugarh/Mohanbari,October,1952-2000,49,29.5,20.6,143.4,27.4800,95.0000
Dibrugarh/Mohanbari,November,1952-2000,49,27.1,14.6,24.7,27.4800,95.0000
Dibrugarh/Mohanbari,December,1952-2000,49,24,9.8,18,27.4800,95.0000
Gadag,January,1932-2000,69,30.1,16.5,2.2,15.4167,75.6167
Gadag,February,1932-2000,69,32.9,18.4,1.6,15.4167,75.6167
Gadag,March,1932-2000,69,35.9,21,6.2,15.4167,75.6167
Gadag,April,1932-2000,69,37.3,22.4,37.2,15.4167,75.6167
Gadag,May,1932-2000,69,36.3,22.4,77.6,15.4167,75.6167
Gadag,June,1932-2000,69,31,21.7,81.6,15.4167,75.6167
Gadag,July,1932-2000,69,28.5,21.2,71.6,15.4167,75.6167
Gadag,August,1932-2000,69,28.7,20.8,86.7,15.4167,75.6167
Gadag,September,1932-2000,69,29.8,20.5,126.6,15.4167,75.6167
Gadag,October,1932-2000,69,30.6,20.5,121.1,15.4167,75.6167
Gadag,November,1932-2000,69,29.7,18.3,36.6,15.4167,75.6167
Gadag,December,1932-2000,69,29,16.3,8.6,15.4167,75.6167
Gangtok,January,1966-2000,35,12.6,4.2,31.9,27.3305,88.6136
Gangtok,February,1966-2000,35,14.1,5.5,79.4,27.3305,88.6136
Gangtok,March,1966-2000,35,18.3,8.7,122.2,27.3305,88.6136
Gangtok,April,1966-2000,35,21,11.5,270.9,27.3305,88.6136
Gangtok,May,1966-2000,35,21.7,13.6,527.7,27.3305,88.6136
Gangtok,June,1966-2000,35,22.2,16,611.3,27.3305,88.6136
Gangtok,July,1966-2000,35,22,16.6,628.6,27.3305,88.6136
Gangtok,August,1966-2000,35,22.4,16.5,563.2,27.3305,88.6136
Gangtok,September,1966-2000,35,21.8,15.5,463.4,27.3305,88.6136
Gangtok,October,1966-2000,35,20.9,12.3,177.9,27.3305,88.6136
Gangtok,November,1966-2000,35,17.8,8.7,41.7,27.3305,88.6136
Gangtok,December,1966-2000,35,14.4,5.6,21.1,27.3305,88.6136
Gaya,January,1901-1999,98,23.8,10,20.1,24.8216,85.0354
Gaya,February,1901-1999,98,26.9,12.6,19,24.8216,85.0354
Gaya,March,1901-1999,98,33.4,17.7,11.7,24.8216,85.0354
Gaya,April,1901-1999,98,38.8,23.3,7.5,24.8216,85.0354
Gaya,May,1901-1999,98,40.8,26.7,21.3,24.8216,85.0354
Gaya,June,1901-1999,98,38.1,27.6,137.3,24.8216,85.0354
Gaya,July,1901-1999,98,33.4,26.1,313.9,24.8216,85.0354
Gaya,August,1901-1999,98,32.4,25.7,327.6,24.8216,85.0354
Gaya,September,1901-1999,98,32.6,25.3,205.7,24.8216,85.0354
Gaya,October,1901-1999,98,31.9,21.6,52.6,24.8216,85.0354
Gaya,November,1901-1999,98,28.7,14.8,10,24.8216,85.0354
Gaya,December,1901-1999,98,24.8,10.3,3.6,24.8216,85.0354
Gopalpur,January,1901-2000,98,27.2,16.9,11,23.1800,88.5800
Gopalpur,February,1901-2000,98,28.9,19.5,23.6,23.1800,88.5800
Gopalpur,March,1901-2000,98,30.7,22.6,18.1,23.1800,88.5800
Gopalpur,April,1901-2000,98,31.2,25,20.3,23.1800,88.5800
Gopalpur,May,1901-2000,98,32.4,26.7,53.8,23.1800,88.5800
Gopalpur,June,1901-2000,98,32.3,26.8,138.1,23.1800,88.5800
Gopalpur,July,1901-2000,98,31,26.1,174.6,23.1800,88.5800
Gopalpur,August,1901-2000,98,31.2,25.9,195.9,23.1800,88.5800
Gopalpur,September,1901-2000,98,31.7,25.7,192,23.1800,88.5800
Gopalpur,October,1901-2000,98,31.4,23.8,237.8,23.1800,88.5800
Gopalpur,November,1901-2000,98,29.5,19.7,95.3,23.1800,88.5800
Gopalpur,December,1901-2000,98,27.4,16.4,11.4,23.1800,88.5800
Gorakhpur,January,1901-2000,96,22.9,9.2,14.2,26.7588,83.3697
Gorakhpur,February,1901-2000,96,25.9,11.4,15.2,26.7588,83.3697
Gorakhpur,March,1901-2000,96,32.4,16.4,9.4,26.7588,83.3697
Gorakhpur,April,1901-2000,96,37.4,21.8,11.7,26.7588,83.3697
Gorakhpur,May,1901-2000,96,38.7,25,36.1,26.7588,83.3697
Gorakhpur,June,1901-2000,96,36.7,26.3,166.7,26.7588,83.3697
Gorakhpur,July,1901-2000,96,32.9,26,342.7,26.7588,83.3697
Gorakhpur,August,1901-2000,96,32.4,25.7,339.1,26.7588,83.3697
Gorakhpur,September,1901-2000,96,32.6,24.9,232.3,26.7588,83.3697
Gorakhpur,October,1901-2000,96,32.4,20.9,60.4,26.7588,83.3697
Gorakhpur,November,1901-2000,96,28.8,14.4,4.9,26.7588,83.3697
Gorakhpur,December,1901-2000,96,24.4,10.1,6.2,26.7588,83.3697
Gulbarga,January,1901-2000,98,30.7,16,5,17.3333,76.8333
Gulbarga,February,1901-2000,98,33.6,18.3,5.6,17.3333,76.8333
Gulbarga,March,1901-2000,98,37.3,21.8,7.9,17.3333,76.8333
Gulbarga,April,1901-2000,98,39.6,25,18.6,17.3333,76.8333
Gulbarga,May,1901-2000,98,40.3,26,35.5,17.3333,76.8333
Gulbarga,June,1901-2000,98,35.3,23.7,107.3,17.3333,76.8333
Gulbarga,July,1901-2000,98,31.8,22.5,136.8,17.3333,76.8333
Gulbarga,August,1901-2000,98,31.3,22.2,140.1,17.3333,76.8333
Gulbarga,September,1901-2000,98,31.5,22.1,190.1,17.3333,76.8333
Gulbarga,October,1901-2000,98,32.3,20.9,80.7,17.3333,76.8333
Gulbarga,November,1901-2000,98,30.8,17.8,26.8,17.3333,76.8333
Gulbarga,December,1901-2000,98,29.7,15.2,5.1,17.3333,76.8333
Guwahati (Bhorjar),January,1951-2000,50,23.6,10.2,11.8,26.1833,91.7333
Guwahati (Bhorjar),February,1951-2000,50,26.2,11.9,17.2,26.1833,91.7333
Guwahati (Bhorjar),March,1951-2000,50,29.9,15.8,55.1,26.1833,91.7333
Guwahati (Bhorjar),April,1951-2000,50,31.2,20,147,26.1833,91.7333
Guwahati (Bhorjar),May,1951-2000,50,31.1,22.6,248.9,26.1833,91.7333
Guwahati (Bhorjar),June,1951-2000,50,31.7,24.8,316.8,26.1833,91.7333
Guwahati (Bhorjar),July,1951-2000,50,31.8,25.5,351.2,26.1833,91.7333
Guwahati (Bhorjar),August,1951-2000,50,32.1,25.5,269.4,26.1833,91.7333
Guwahati (Bhorjar),September,1951-2000,50,31.6,24.6,187,26.1833,91.7333
Guwahati (Bhorjar),October,1951-2000,50,30.2,21.9,90.9,26.1833,91.7333
Guwahati (Bhorjar),November,1951-2000,50,27.6,16.7,18.5,26.1833,91.7333
Guwahati (Bhorjar),December,1951-2000,50,24.6,11.7,7.3,26.1833,91.7333
Gwalior,January,1951-2000,50,22.8,7,14.4,26.2215,78.1780
Gwalior,February,1951-2000,50,26.4,9.8,10,26.2215,78.1780
Gwalior,March,1951-2000,50,32.5,15.4,6.5,26.2215,78.1780
Gwalior,April,1951-2000,50,38.6,21.5,4.5,26.2215,78.1780
Gwalior,May,1951-2000,50,42,26.8,11.2,26.2215,78.1780
Gwalior,June,1951-2000,50,40.7,29,67.5,26.2215,78.1780
Gwalior,July,1951-2000,50,34.6,26.4,248.8,26.2215,78.1780
Gwalior,August,1951-2000,50,32.4,25.2,274.4,26.2215,78.1780
Gwalior,September,1951-2000,50,33.1,23.9,151.2,26.2215,78.1780
Gwalior,October,1951-2000,50,33.5,18.3,40.7,26.2215,78.1780
Gwalior,November,1951-2000,50,29.4,11.6,5.8,26.2215,78.1780
Gwalior,December,1951-2000,50,24.6,7.3,7,26.2215,78.1780
Hassan,January,1901-2000,100,27.9,14.1,2.6,13.0120,76.0680
Hassan,February,1901-2000,100,30.3,15.5,5,13.0120,76.0680
Hassan,March,1901-2000,100,32.7,17.7,11.5,13.0120,76.0680
Hassan,April,1901-2000,100,33.3,19.5,56.7,13.0120,76.0680
Hassan,May,1901-2000,100,31.4,19.7,104.9,13.0120,76.0680
Hassan,June,1901-2000,100,26.8,19,88.7,13.0120,76.0680
Hassan,July,1901-2000,100,24.9,18.6,147.9,13.0120,76.0680
Hassan,August,1901-2000,100,25.4,18.5,94.2,13.0120,76.0680
Hassan,September,1901-2000,100,26.9,18.2,106.5,13.0120,76.0680
Hassan,October,1901-2000,100,27.5,18.2,156.1,13.0120,76.0680
Hassan,November,1901-2000,100,26.9,16.5,64.1,13.0120,76.0680
Hassan,December,1901-2000,100,26.7,14.5,14.6,13.0120,76.0680
Hissar,January,1914-2000,87,21.3,5.8,14.8,29.1492,75.7226
Hissar,February,1914-2000,87,24.5,8.5,15.2,29.1492,75.7226
Hissar,March,1914-2000,87,30.5,13.8,14,29.1492,75.7226
Hissar,April,1914-2000,87,36.9,19.6,8.9,29.1492,75.7226
Hissar,May,1914-2000,87,41,24.7,17.3,29.1492,75.7226
Hissar,June,1914-2000,87,41.2,27.8,39.7,29.1492,75.7226
Hissar,July,1914-2000,87,37.2,27.3,133.1,29.1492,75.7226
Hissar,August,1914-2000,87,35.6,26.2,130.6,29.1492,75.7226
Hissar,September,1914-2000,87,35.7,23.9,74.5,29.1492,75.7226
Hissar,October,1914-2000,87,34.4,17.8,29.2,29.1492,75.7226
Hissar,November,1914-2000,87,29.2,10.9,3.2,29.1492,75.7226
Hissar,December,1914-2000,87,23.5,6.5,10.2,29.1492,75.7226
Hyderabad (A),January,1951-2000,50,28.8,15.2,13.2,17.3660,78.4760
Hyderabad (A),February,1951-2000,50,31.9,17.6,7.9,17.3660,78.4760
Hyderabad (A),March,1951-2000,50,35.4,20.8,15.3,17.3660,78.4760
Hyderabad (A),April,1951-2000,50,37.9,24.3,20.2,17.3660,78.4760
Hyderabad (A),May,1951-2000,50,39,26.2,35.7,17.3660,78.4760
Hyderabad (A),June,1951-2000,50,34.5,24,103.8,17.3660,78.4760
Hyderabad (A),July,1951-2000,50,30.8,22.6,169.9,17.3660,78.4760
Hyderabad (A),August,1951-2000,50,29.8,22.1,178.7,17.3660,78.4760
Hyderabad (A),September,1951-2000,50,30.5,22,158.3,17.3660,78.4760
Hyderabad (A),October,1951-2000,50,30.6,20.3,97.2,17.3660,78.4760
Hyderabad (A),November,1951-2000,50,29,16.9,22.4,17.3660,78.4760
Hyderabad (A),December,1951-2000,50,28,14.5,5.9,17.3660,78.4760
Imphal/Tulihal,January,1953-1998,45,21.5,4,12.2,24.8022,93.9386
Imphal/Tulihal,February,1953-1998,45,23.3,6.9,37.5,24.8022,93.9386
Imphal/Tulihal,March,1953-1998,45,26.8,11.2,84.5,24.8022,93.9386
Imphal/Tulihal,April,1953-1998,45,28.6,15.4,120.1,24.8022,93.9386
Imphal/Tulihal,May,1953-1998,45,29,18.3,154.2,24.8022,93.9386
Imphal/Tulihal,June,1953-1998,45,29.1,20.9,262.1,24.8022,93.9386
Imphal/Tulihal,July,1953-1998,45,28.9,21.5,407.3,24.8022,93.9386
Imphal/Tulihal,August,1953-1998,45,29,21.3,198.7,24.8022,93.9386
Imphal/Tulihal,September,1953-1998,45,29,20.2,131.5,24.8022,93.9386
Imphal/Tulihal,October,1953-1998,45,28.1,16.7,112.1,24.8022,93.9386
Imphal/Tulihal,November,1953-1998,45,25.2,10.5,48.1,24.8022,93.9386
Imphal/Tulihal,December,1953-1998,45,22.2,5.1,14,24.8022,93.9386
Indore,January,1949-2000,52,26.5,9.9,7.7,22.7187,75.8557
Indore,February,1949-2000,52,29.3,11.5,2.5,22.7187,75.8557
Indore,March,1949-2000,52,34.2,16.2,2.4,22.7187,75.8557
Indore,April,1949-2000,52,38.4,21,2.4,22.7187,75.8557
Indore,May,1949-2000,52,40.2,24.5,10.6,22.7187,75.8557
Indore,June,1949-2000,52,36.3,24.3,131.9,22.7187,75.8557
Indore,July,1949-2000,52,30.3,22.7,283.7,22.7187,75.8557
Indore,August,1949-2000,52,28.5,22,276.9,22.7187,75.8557
Indore,September,1949-2000,52,30.3,21,183.1,22.7187,75.8557
Indore,October,1949-2000,52,32.2,18,40.1,22.7187,75.8557
Indore,November,1949-2000,52,29.6,13.6,13.3,22.7187,75.8557
Indore,December,1949-2000,52,27.1,10.5,6.3,22.7187,75.8557
Jabalpur,January,1901-2000,100,25.5,9.8,22.2,23.1657,79.9324
Jabalpur,February,1901-2000,100,28.2,11.9,23.4,23.1657,79.9324
Jabalpur,March,1901-2000,100,33.6,16.1,15.5,23.1657,79.9324
Jabalpur,April,1901-2000,100,38.4,21.4,7.7,23.1657,79.9324
Jabalpur,May,1901-2000,100,41.3,26,12.9,23.1657,79.9324
Jabalpur,June,1901-2000,100,37.5,26.4,167.3,23.1657,79.9324
Jabalpur,July,1901-2000,100,30.7,24.1,421.9,23.1657,79.9324
Jabalpur,August,1901-2000,100,29.5,23.6,422.9,23.1657,79.9324
Jabalpur,September,1901-2000,100,30.9,23.1,200.1,23.1657,79.9324
Jabalpur,October,1901-2000,100,31.6,18.8,39.9,23.1657,79.9324
Jabalpur,November,1901-2000,100,28.7,12.7,15,23.1657,79.9324
Jabalpur,December,1901-2000,100,25.9,9.3,9.9,23.1657,79.9324
Jagdalpur,January,1909-2000,92,28.2,11.6,9.1,19.2713,82.0960
Jagdalpur,February,1909-2000,92,30.9,14.3,15.6,19.2713,82.0960
Jagdalpur,March,1909-2000,92,34.9,18.5,16,19.2713,82.0960
Jagdalpur,April,1909-2000,92,37.2,22.2,51.1,19.2713,82.0960
Jagdalpur,May,1909-2000,92,38.1,24.2,73.2,19.2713,82.0960
Jagdalpur,June,1909-2000,92,33.4,23.8,239.6,19.2713,82.0960
Jagdalpur,July,1909-2000,92,28.6,22.3,369.4,19.2713,82.0960
Jagdalpur,August,1909-2000,92,28.4,22.2,377.5,19.2713,82.0960
Jagdalpur,September,1909-2000,92,29.6,22,236.9,19.2713,82.0960
Jagdalpur,October,1909-2000,92,29.9,19.6,101.1,19.2713,82.0960
Jagdalpur,November,1909-2000,92,28.2,14.9,24.3,19.2713,82.0960
Jagdalpur,December,1909-2000,92,27.2,11.1,7.7,19.2713,82.0960
Jaipur (Sanganer),January,1952-2000,49,22.4,8.2,7.5,26.9210,75.7944
Jaipur (Sanganer),February,1952-2000,49,25.4,10.9,10.2,26.9210,75.7944
Jaipur (Sanganer),March,1952-2000,49,31.3,16,4.5,26.9210,75.7944
Jaipur (Sanganer),April,1952-2000,49,37,21.6,8.3,26.9210,75.7944
Jaipur (Sanganer),May,1952-2000,49,40.3,25.7,16.7,26.9210,75.7944
Jaipur (Sanganer),June,1952-2000,49,39.5,27.5,54.7,26.9210,75.7944
Jaipur (Sanganer),July,1952-2000,49,34.2,25.8,214,26.9210,75.7944
Jaipur (Sanganer),August,1952-2000,49,32.3,24.5,213.6,26.9210,75.7944
Jaipur (Sanganer),September,1952-2000,49,33.5,23.2,69.4,26.9210,75.7944
Jaipur (Sanganer),October,1952-2000,49,33.5,19,23.3,26.9210,75.7944
Jaipur (Sanganer),November,1952-2000,49,29.1,13.4,4.2,26.9210,75.7944
Jaipur (Sanganer),December,1952-2000,49,24.4,9.2,3,26.9210,75.7944
Jaisalmer,January,1948-2000,43,23.7,7.6,1.5,26.9200,70.9000
Jaisalmer,February,1948-2000,43,27.1,10.5,3,26.9200,70.9000
Jaisalmer,March,1948-2000,43,32.6,16.4,2.7,26.9200,70.9000
Jaisalmer,April,1948-2000,43,38.2,21.9,21,26.9200,70.9000
Jaisalmer,May,1948-2000,43,41.6,25.6,8.9,26.9200,70.9000
Jaisalmer,June,1948-2000,43,40.8,27,15.1,26.9200,70.9000
Jaisalmer,July,1948-2000,43,37.7,26.5,60.1,26.9200,70.9000
Jaisalmer,August,1948-2000,43,36,25.4,75.8,26.9200,70.9000
Jaisalmer,September,1948-2000,43,36.4,24.2,17.6,26.9200,70.9000
Jaisalmer,October,1948-2000,43,36.1,20.2,2.4,26.9200,70.9000
Jaisalmer,November,1948-2000,43,31,13.4,1.5,26.9200,70.9000
Jaisalmer,December,1948-2000,43,25.5,8.5,2.4,26.9200,70.9000
Jammu,January,1925-2000,62,18.6,7.8,60.7,32.7300,74.8700
Jammu,February,1925-2000,62,21.3,10.1,62.8,32.7300,74.8700
Jammu,March,1925-2000,62,26.1,14.2,59.9,32.7300,74.8700
Jammu,April,1925-2000,62,32.6,19.7,35.7,32.7300,74.8700
Jammu,May,1925-2000,62,38.1,24.7,25.6,32.7300,74.8700
Jammu,June,1925-2000,62,39.8,26.9,72.7,32.7300,74.8700
Jammu,July,1925-2000,62,35.1,25.2,349.6,32.7300,74.8700
Jammu,August,1925-2000,62,33.3,24.7,319.1,32.7300,74.8700
Jammu,September,1925-2000,62,33.3,23.3,139.8,32.7300,74.8700
Jammu,October,1925-2000,62,31.4,18.8,23.8,32.7300,74.8700
Jammu,November,1925-2000,62,26.5,13.1,10.3,32.7300,74.8700
Jammu,December,1925-2000,62,20.9,9,33,32.7300,74.8700
Jamshedpur,January,1951-1999,43,26.2,11.7,14,22.8000,86.3000
Jamshedpur,February,1951-1999,43,29.3,14.5,25.7,22.8000,86.3000
Jamshedpur,March,1951-1999,43,34.4,18.6,26.1,22.8000,86.3000
Jamshedpur,April,1951-1999,43,38.9,23.7,37.5,22.8000,86.3000
Jamshedpur,May,1951-1999,43,39.6,26.2,57.2,22.8000,86.3000
Jamshedpur,June,1951-1999,43,36.2,26.2,205.3,22.8000,86.3000
Jamshedpur,July,1951-1999,43,32.3,25.1,292.5,22.8000,86.3000
Jamshedpur,August,1951-1999,43,31.8,25.2,306.5,22.8000,86.3000
Jamshedpur,September,1951-1999,43,32.1,24.6,208.8,22.8000,86.3000
Jamshedpur,October,1951-1999,43,31.5,21.7,82.2,22.8000,86.3000
Jamshedpur,November,1951-1999,43,29,16.1,10.1,22.8000,86.3000
Jamshedpur,December,1951-1999,43,26.2,11.7,6.1,22.8000,86.3000
Jharsuguda,January,1951-2000,47,27.6,12.2,16.1,21.8615,84.0176
Jharsuguda,February,1951-2000,47,30.7,15,19.7,21.8615,84.0176
Jharsuguda,March,1951-2000,47,35.5,19.2,18,21.8615,84.0176
Jharsuguda,April,1951-2000,47,40,24.1,18,21.8615,84.0176
Jharsuguda,May,1951-2000,47,41.4,26.9,36.1,21.8615,84.0176
Jharsuguda,June,1951-2000,47,36.9,26.3,211.8,21.8615,84.0176
Jharsuguda,July,1951-2000,47,31.5,24.7,377.3,21.8615,84.0176
Jharsuguda,August,1951-2000,47,31.1,24.6,405.5,21.8615,84.0176
Jharsuguda,September,1951-2000,47,31.9,24.3,278.4,21.8615,84.0176
Jharsuguda,October,1951-2000,47,32,21.5,61.7,21.8615,84.0176
Jharsuguda,November,1951-2000,47,30,16.2,10.4,21.8615,84.0176
Jharsuguda,December,1951-2000,47,27.6,12.1,7.9,21.8615,84.0176
Jodhpur,January,1901-2000,100,25,9.6,10.2,26.2833,73.0219
Jodhpur,February,1901-2000,100,27.8,11.8,4.8,26.2833,73.0219
Jodhpur,March,1901-2000,100,33.4,17.2,3.9,26.2833,73.0219
Jodhpur,April,1901-2000,100,38.4,22.7,5.1,26.2833,73.0219
Jodhpur,May,1901-2000,100,41.4,26.8,66.1,26.2833,73.0219
Jodhpur,June,1901-2000,100,40.1,28.2,35.1,26.2833,73.0219
Jodhpur,July,1901-2000,100,36,26.8,120.8,26.2833,73.0219
Jodhpur,August,1901-2000,100,33.7,25.3,128.9,26.2833,73.0219
Jodhpur,September,1901-2000,100,35,24.1,57.6,26.2833,73.0219
Jodhpur,October,1901-2000,100,36,19.9,8.1,26.2833,73.0219
Jodhpur,November,1901-2000,100,31.5,14.5,2.6,26.2833,73.0219
Jodhpur,December,1901-2000,100,26.8,10.8,1.6,26.2833,73.0219
Joshimath,January,1958-1987,29,11.4,2.1,65.3,30.5700,79.5700
Joshimath,February,1958-1987,29,12.4,3.2,98,30.5700,79.5700
Joshimath,March,1958-1987,29,17.6,6.6,114.3,30.5700,79.5700
Joshimath,April,1958-1987,29,21.8,10.8,64,30.5700,79.5700
Joshimath,May,1958-1987,29,24.6,13.9,71.3,30.5700,79.5700
Joshimath,June,1958-1987,29,25.9,16.6,132.3,30.5700,79.5700
Joshimath,July,1958-1987,29,24.1,16.9,247.4,30.5700,79.5700
Joshimath,August,1958-1987,29,23.6,16.9,222.4,30.5700,79.5700
Joshimath,September,1958-1987,29,22.9,14.8,104.8,30.5700,79.5700
Joshimath,October,1958-1987,29,20.6,10.5,45.1,30.5700,79.5700
Joshimath,November,1958-1987,29,16.8,6.2,15.4,30.5700,79.5700
Joshimath,December,1958-1987,29,13.6,3.8,25,30.5700,79.5700
Jullundur,January,1970-1999,14,19.4,6.2,10.7,31.5555,75.6449
Jullundur,February,1970-1999,14,21.6,8.6,16.7,31.5555,75.6449
Jullundur,March,1970-1999,14,26,13.2,32.8,31.5555,75.6449
Jullundur,April,1970-1999,14,34.5,19,15.2,31.5555,75.6449
Jullundur,May,1970-1999,14,39.4,23.8,20.4,31.5555,75.6449
Jullundur,June,1970-1999,14,38.2,25.6,69.7,31.5555,75.6449
Jullundur,July,1970-1999,14,34.1,24.7,155.2,31.5555,75.6449
Jullundur,August,1970-1999,14,33.1,25.8,183.6,31.5555,75.6449
Jullundur,September,1970-1999,14,32.6,21.8,60,31.5555,75.6449
Jullundur,October,1970-1999,14,31.5,18.3,1.5,31.5555,75.6449
Jullundur,November,1970-1999,14,27.2,12.1,3.5,31.5555,75.6449
Jullundur,December,1970-1999,14,22.3,7.2,9.7,31.5555,75.6449
Kanpur (A),January,1901-1995,84,23,8.5,15.4,26.3397,80.2929
Kanpur (A),February,1901-1995,84,26,11,16.4,26.3397,80.2929
Kanpur (A),March,1901-1995,84,32.3,16.2,7.9,26.3397,80.2929
Kanpur (A),April,1901-1995,84,38.2,21.9,5.3,26.3397,80.2929
Kanpur (A),May,1901-1995,84,41.3,26.4,8.4,26.3397,80.2929
Kanpur (A),June,1901-1995,84,39.9,28.5,66.3,26.3397,80.2929
