Station Name,Yearly Average Min Temp,Yearly Average Max Temp,Average Rainfall,Range of Min Temp,Range of Max Temp
Kohima,14.633333333333333,22.258333333333336,152.60833333333332,8.1 - 18.9,16.6 - 25.4
Kolkata (Alipur),22.025000000000002,31.400000000000002,137.61666666666667,13.7 - 26.5,26.0 - 35.7
Kota (A),21.175,32.81666666666667,60.199999999999996,10.9 - 29.3,23.7 - 42.1
Kozhikode (A),23.691666666666666,31.775000000000002,261.2916666666667,22.3 - 25.5,28.8 - 34.5
Lucknow (Amausi),18.241666666666667,31.916666666666668,84.11666666666666,7.3 - 27.0,22.5 - 40.3
Ludhiana,17.383333333333333,31.2,58.225,6.2 - 27.1,19.7 - 40.7
Madurai (A),23.616666666666664,34.09166666666667,70.21666666666667,20.1 - 26.0,29.6 - 37.6
Mahabaleshwar,16.041666666666668,24.825,485.59999999999997,13.5 - 18.7,19.2 - 30.9
Malda,20.458333333333332,30.991666666666664,116.34166666666665,11.3 - 26.1,24.3 - 36.3
Manali,6.233333333333333,20.275,113.64999999999999,-1.7 - 15.3,10.6 - 27.2
Mangalore (Bajpe),22.95,31.53333333333333,316.40833333333336,20.8 - 25.1,28.2 - 34.0
Masulipatnam,23.791666666666668,32.11666666666667,89.23333333333333,19.3 - 27.6,28.2 - 37.0
Minicoy,24.724999999999998,30.616666666666664,137.1,23.3 - 26.2,30.0 - 32.1
Mukteswar (Kumaun),8.858333333333333,17.833333333333332,109.44999999999999,1.6 - 14.2,10.5 - 23.4
Mumbai (Santa Cruz),22.358333333333334,31.8,202.60833333333332,16.7 - 26.4,29.6 - 33.5
Mysore,19.075,29.875,67.01666666666667,16.2 - 21.2,27.5 - 34.3
Nagpur (Sonegaon),20.325,33.4,97.19166666666666,12.1 - 28.0,28.1 - 42.5
Nainital,10.058333333333334,18.116666666666667,205.475,1.7 - 16.5,10.7 - 23.5
Nasik,17.433333333333334,31.724999999999998,58.775,10.8 - 22.4,27.3 - 37.2
New Delhi (Palam),18.183333333333334,31.666666666666668,66.28333333333333,6.7 - 27.6,20.8 - 40.5
New Delhi (SFD),19.0,31.308333333333334,59.68333333333334,7.8 - 28.3,20.8 - 39.8
Palakkad (Palghat),23.2,32.35,175.95000000000002,21.8 - 25.1,28.3 - 37.3
Panjim,23.474999999999998,30.849999999999998,232.52499999999998,20.2 - 26.6,28.6 - 32.7
Parbhani,20.208333333333332,33.725,77.80833333333332,13.4 - 26.4,29.1 - 41.7
Pasighat,18.916666666666668,27.724999999999998,369.27500000000003,12.3 - 23.8,22.8 - 31.5
Patna (A),19.6,31.400000000000002,93.95833333333333,9.3 - 26.7,23.0 - 38.4
Pondicherry (A),24.008333333333336,32.958333333333336,144.0,20.3 - 26.9,29.1 - 36.8
Port Blair,23.833333333333332,30.03333333333333,252.9,22.5 - 24.7,29.1 - 32.5
Pune,17.933333333333334,31.816666666666666,58.324999999999996,11.6 - 22.8,27.6 - 37.9
Raipur,20.841666666666665,32.625,109.90833333333335,12.7 - 28.0,27.1 - 41.9
Rajkot (A),20.1,33.858333333333334,57.43333333333334,11.8 - 26.1,28.2 - 40.3
Ranchi (A),18.208333333333332,29.25,120.06666666666666,10.0 - 23.7,23.0 - 37.2
Sambalpur,20.691666666666666,32.675000000000004,132.32500000000002,12.1 - 27.0,27.2 - 41.4
Shillong,12.266666666666666,21.05,183.95833333333334,4.4 - 18.0,15.3 - 24.0
Shimla,9.808333333333334,16.741666666666667,128.275,1.9 - 15.8,8.6 - 23.7
Silchar,19.858333333333334,29.641666666666666,268.1666666666667,11.7 - 25.0,24.9 - 31.7
Solapur,20.541666666666668,33.725,60.225,15.2 - 25.1,29.9 - 40.2
Sri Niketan,20.766666666666666,31.724999999999998,118.30000000000001,11.8 - 26.0,25.0 - 37.4
Srinagar,7.116666666666666,19.341666666666665,56.35,-2.3 - 18.2,5.0 - 30.3
Surat,21.741666666666664,33.40833333333333,93.10000000000001,14.7 - 26.7,30.4 - 37.2
Thiruvananthapuram,23.7,30.291666666666668,149.71666666666667,22.4 - 25.3,28.8 - 32.1
Tirupathy,23.691666666666666,34.483333333333334,85.94166666666666,18.7 - 27.9,28.9 - 40.3
Tura,18.25,27.816666666666666,245.10833333333335,11.5 - 22.2,23.0 - 31.2
Udaipur (Dabok),17.316666666666666,31.75,50.958333333333336,7.0 - 26.1,24.3 - 39.7
Uthagamandalam,9.325000000000001,19.691666666666666,103.14166666666667,5.6 - 11.4,16.9 - 22.6
Varanasi (Babatpur),19.525000000000002,32.275,86.14999999999999,8.8 - 27.9,23.2 - 40.9
Vijayawada,23.474999999999998,33.891666666666666,61.35,18.6 - 27.8,30.2 - 39.9
Vishakhapatnam,24.608333333333334,30.650000000000002,91.89166666666667,20.6 - 27.5,27.7 - 33.1
