City,Month,Year,No. of Years,Mean Temperature in degree C - Maximum,Mean Temperature  in degree C - Minimum,Mean Rainfall in mm,Latitude,Longitude
Nagpur (Sonegaon),January,1901-2000,100,28.7,13.1,12.5,21.1500,79.0900
Nainital,January,1953-1979,27,10.7,1.7,80.3,29.2300,79.2700
Nasik,January,1949-1990,36,29.9,10.8,1.3,20.0000,73.7800
New Delhi (Palam),January,1956-2000,45,20.8,6.7,18.9,28.6139,77.2089
New Delhi (SFD),January,1901-2000,100,20.8,7.8,20.9,28.6139,77.2089
Palakkad (Palghat),January,1943-2000,58,33,21.8,3.5,10.7925,76.5553
Panjim,January,1901-2000,50,31.1,20.2,0.9,15.4989,73.8278
Parbhani,January,1944-2000,57,30,14,6.1,19.2700,76.7800
Pasighat,January,1957-1992,35,22.8,12.3,50.9,28.0667,95.3275
Patna (A),January,1951-2000,50,23,9.3,20.4,25.6110,85.1440
Pondicherry (A),January,1996-2000,5,29.6,20.3,14.8,11.9310,79.7852
Port Blair,January,1901-2000,97,29.4,23.1,46.4,11.6683,92.7378
Pune,January,1901-2000,100,30.2,11.6,1.6,18.5203,73.8567
Raipur,January,1901-1998,97,27.6,13.3,11.7,21.2455,81.6421
Rajkot (A),January,1905-2000,49,28.2,11.8,1,22.3000,70.7833
Ranchi (A),January,1951-2000,40,23,10,20.5,23.3477,85.3238
Sambalpur,January,1901-2000,95,27.6,12.6,14.2,21.4594,83.9743
Shillong,January,1902-2000,99,15.3,4.4,13.7,25.5795,91.8937
Shimla,January,1901-1992,90,8.6,1.9,57.9,31.0874,77.1794
Silchar,January,1901-2000,89,24.9,11.7,18,24.8295,92.7875
Solapur,January,1901-2000,100,30.8,15.8,4.7,17.6800,75.9200
Sri Niketan,January,1961-2000,39,25,11.8,11.6,23.6600,87.6600
Srinagar,January,1901-2000,98,5,-2.3,62.2,34.0900,74.7900
Surat,January,1901-2000,99,30.9,14.7,2.1,21.1762,72.8295
Thiruvananthapuram,January,1901-2000,100,30.7,22.4,22.9,8.4875,76.9525
Tirupathy,January,1981-2000,20,29.9,18.7,22,13.6500,79.4200
Tura,January,1950-1985,35,23,11.5,8.7,25.5200,90.2200
Udaipur (Dabok),January,1965-2000,36,24.3,7,2.4,24.5800,73.6800
Uthagamandalam,January,1901-2000,87,20.3,5.6,20.5,11.4100,76.7000
Varanasi (Babatpur),January,1952-2000,48,23.2,8.8,17.6,25.2820,82.9563
Vijayawada,January,1978-1993,14,30.2,18.6,6.2,16.5083,80.6417
Vishakhapatnam,January,1968-2000,29,27.7,20.6,14.2,17.7085,83.2438
